tr, amp, labels
89.6114,5497.29,carbon
93.9295,6024.64,carbon
101.651,6717.24,carbon
92.8914,8734.02,carbon
96.9203,10894.6,carbon
105.174,5043.87,carbon
98.2075,11911.4,carbon
94.8428,5298.91,carbon
174.308,6878.8,alpha
101.943,7397.75,carbon
214.431,9841.64,alpha
96.9481,6182.97,carbon
106.086,15804.9,carbon
84.0059,6234.89,carbon
113.727,6431.8,carbon
97.6538,7318.31,carbon
98.9592,11252.9,carbon
88.374,6314.47,carbon
89.1439,6321.05,carbon
100.792,7594.59,carbon
90.6529,9710.71,carbon
100.646,10002,carbon
97.0778,3883.93,carbon
210.952,9072.71,alpha
89.8994,4824.32,carbon
106.272,7981.73,carbon
82.9909,3765.71,carbon
224.444,10027.6,alpha
218.271,10830.9,alpha
95.8316,6016.37,carbon
191.376,10264.8,alpha
98.6902,8683.85,carbon
182.916,7704.92,alpha
97.3426,10601.6,carbon
192.961,11223.4,alpha
106.4,6723.9,carbon
98.6189,13067.4,carbon
101.296,6194.83,carbon
96.5894,10964.9,carbon
101.371,12940.1,carbon
91.7349,8018.46,carbon
97.6379,14627.2,carbon
98.5443,5450.97,carbon
103.615,18754.1,carbon
195.208,7591.09,alpha
93.8853,7096.82,carbon
99.4794,4889.57,carbon
93.1417,6346.12,carbon
92.5021,5894.55,carbon
210.949,10170.7,alpha
94.9057,7743.4,carbon
81.6018,6026.71,carbon
91.7239,4559.7,carbon
94.4284,9543.79,carbon
99.2467,11110.7,carbon
99.6495,8246.16,carbon
100.686,21929.8,carbon
100.451,8952.12,carbon
152.137,9839.17,alpha
165.651,10178.5,alpha
94.6809,7406.22,carbon
100.169,4170.09,carbon
218.989,10697.3,alpha
94.5055,6287.77,carbon
93.7452,5020.23,carbon
87.6746,12001.1,carbon
170.006,10757.4,alpha
209.764,8299.25,alpha
89.9005,7943.14,carbon
95.7015,11509.9,carbon
94.3561,3859.22,carbon
100.823,14497.9,carbon
94.036,4473.04,carbon
222.92,10623.9,alpha
95.1542,5316.53,carbon
95.2195,5968.06,carbon
95.0556,4996.01,carbon
98.5222,9749.56,carbon
98.101,5196.49,carbon
92.6973,7654.85,carbon
217.186,11233,alpha
212.3,8318.55,alpha
99.0682,8072.4,carbon
224.114,9658.49,alpha
98.7457,7412.55,carbon
94.3006,7592.21,carbon
94.2807,4447.68,carbon
104.002,3628.7,carbon
97.5194,7205.92,carbon
100.049,11070.9,carbon
95.007,7990.04,carbon
